KeyMineProject,Property Name,Primary Commodity,Commodity Group,List of Owners,List of Royalty Holders,Development Stage,Activity Status,Latitude (degrees),Longitude (degrees),Coordinate Accuracy
67882,Philibert I,Gold,Precious Metals,Stellar AfricaGold Inc. (Optionee) 100%; Unnamed Owner (Optionor),NA,Exploration,Active,49.433420,-74.566550,Exact
67883,Suomussalmi Group,Gold,Precious Metals,Lionsgold Limited (Optionee) 50%; Mineral Exploration Network (Finland) Ltd (Optionor) 50%,NA,Grassroots,Active,65.320381,29.322097,Exact
67885,Ilomantsi Group,Gold,Precious Metals,Lionsgold Limited (Optionee) 50%; Mineral Exploration Network (Finland) Ltd (Optionor) 50%,NA,Exploration,Active,62.748000,31.203000,Exact
67886,Kuhmo Group,Gold,Precious Metals,Lionsgold Limited (Optionee) 50%; Mineral Exploration Network (Finland) Ltd (Optionor) 50%,NA,Grassroots,Active,64.408000,29.061000,Exact
67888,Datlaa,Gold,Precious Metals,NA,NA,Grassroots,Inactive,-3.850000,35.670000,Exact
67891,Eric Lake,Gold,Precious Metals,Northern Empire Resources Corp. (Owner) 100%,Unnamed Owner (NSR) 2%; Unnamed Owner (GOR),Exploration,Active,61.556000,-95.216000,Exact
67892,Phoenix,Gold,Precious Metals,America's Gold Exploration Inc. (Owner) 50%; Phoenix Gold Resources Corp. (Owner) 50%; Private Interest (Venture),NA,Exploration,Inactive,40.550000,-117.140000,Exact
67893,Filippini,Gold,Precious Metals,Private Interest (Owner) 50%,NA,Grassroots,Inactive,45.541000,-117.141000,Exact
67906,Monster Lake South,Gold,Precious Metals,Cannabix Technologies Inc. (Owner) 100%,Private Interest (NSR) 2%,Exploration,Active,49.489000,-74.721000,Exact
67909,Estrella de Oro,Gold,Precious Metals,Kootenay Silver Inc. (Owner) 100%,NA,Grassroots,Active,26.610000,-109.320000,Approximate
67916,St Pierre,Gold,Precious Metals,Variscan Mines Limited (Owner) 100%,NA,Target Outline,Active,47.270000,-0.960000,Exact
67923,Kouroussa,Gold,Precious Metals,NA,NA,Grassroots,Inactive,11.090000,-9.785000,Exact
67924,Kankan,Gold,Precious Metals,NA,NA,Grassroots,Inactive,10.520000,-9.421000,Approximate
67931,Sanvig,Gold,Precious Metals,Abra Mining and Industrial Corporation (Owner) 100%,NA,Exploration,Inactive,17.510000,120.420000,Exact
67945,W Zone,Gold,Precious Metals,Richmont Mines Incorporated (Owner) 100%,Hecla Mining Company (Royalty),Closed,Inactive,48.160000,-77.560000,Exact
67956,Borden North,Gold,Precious Metals,Kapuskasing Gold Corp. (Owner) 100%,NA,Grassroots,Active,48.183550,-82.595480,Exact
67957,Rollo,Gold,Precious Metals,Kapuskasing Gold Corp. (Optionee) 100%; Unnamed Owner (Optionor),NA,Target Outline,Active,47.914000,-82.686000,Exact
67959,Silver Reef,Gold,Precious Metals,Hi Ho Silver Resources Inc. (Owner) 100%,NA,Exploration,Active,34.702220,-116.498360,Exact
67966,Ivory Coast,Gold,Precious Metals,Red Rock Resources Plc (Owner) 100%,NA,Grassroots,Active,8.739060,-4.077460,Exact
67970,Walls,Gold,Precious Metals,Pavey Ark Minerals Inc. (Owner) 100%,NA,Grassroots,Inactive,48.948220,-83.763330,Exact
67971,Summit Lake,Gold,Precious Metals,Eilat Resources Inc. (Owner) 100%,NA,Grassroots,Inactive,56.201000,-130.155000,Exact
67972,Black Lake NWT,Gold,Precious Metals,NWT Copper Mines Limited (Owner) 100%,NA,Grassroots,Inactive,50.146420,-91.566400,Exact
67977,G&C,Gold,Precious Metals,Zamunda Minerals Zambia Ltd (Owner) 100%,NA,Advanced Exploration,Inactive,-15.645800,23.710230,Best Guess
67981,South Standby,Gold,Precious Metals,BHB Partners (Owner) 100%,NA,Grassroots,Active,44.107000,-103.708000,Exact
67982,False Bottom,Gold,Precious Metals,NA,NA,Grassroots,Inactive,44.370000,-103.831000,Exact
67992,Mazarin,Gold,Precious Metals,ABE Resources Inc. (Owner) 100%,NA,Grassroots,Inactive,49.056000,-78.281000,Exact
67994,Valrennes,Gold,Precious Metals,ABE Resources Inc. (Owner) 100%,NA,Grassroots,Inactive,49.573000,-78.604000,Exact
67998,West Ashburton,Gold,Precious Metals,Kalamazoo Resources Limited (Owner) 100%,NA,Grassroots,Inactive,-21.974700,115.549700,Exact
68001,Otu,Gold,Precious Metals,Otu Gold Ltd. (Owner) 100%,NA,Grassroots,Active,7.270000,-74.880000,Approximate
68013,Mt Washington,Gold,Precious Metals,Five Nines Ventures Ltd (Owner) 100%; Private Interest (Fractional),NA,Exploration,Inactive,49.776670,-125.198560,Exact
68017,Osu,Gold,Precious Metals,Peninsula Mines Limited (Owner) 100%,NA,Target Outline,Active,35.617490,127.463500,Exact
68019,Mt Margaret,Gold,Precious Metals,Hill End Gold Limited (Owner) 100%,NA,Grassroots,Active,-32.695650,149.696050,Exact
68029,Fierro,Gold,Precious Metals,Genesis Minerals Limited (Optionee) 100%; Teck Resources Limited (Optionor),NA,Grassroots,Active,-29.465000,-69.405000,Exact
68030,Sierra Alta,Gold,Precious Metals,Emerita Resources Corp. (Owner) 100%,NA,Exploration,Active,43.284000,-6.689000,Exact
68040,El Dorado,Gold,Precious Metals,Mission Mining Company (Owner) 100%,Colten Metals LLC (NSR) 9%,Exploration,Inactive,34.441450,-116.949800,Approximate
68048,San Antonio Mine,Gold,Precious Metals,Sociedad Contractual Minera San Antonio (Optionee) 100%; Sociedad De Asesoria Jurdica y Economica Minem S.A. (Optionor),NA,Advanced Exploration,Inactive,-27.713000,-70.344000,Approximate
68049,Tres Amantes Mine,Gold,Precious Metals,Sociedad De Asesoria Jurdica y Economica Minem S.A. (Owner) 100%,NA,Advanced Exploration,Active,-27.735000,-70.410000,Exact
68050,Coffee Dome,Gold,Precious Metals,Freegold Ventures Limited (Owner) 100%,NA,Grassroots,Inactive,65.045000,-147.449000,Exact
68056,Luoning,Gold,Precious Metals,Zijin Mining Group Company Limited (Owner) 70%; Unnamed Owner (Owner) 30%,NA,Operating,Active,34.399160,111.643020,Best Guess
68064,Mazocahui,Gold,Precious Metals,Egan Street Resources Limited (Owner) 60%; Unnamed Owner (Owner) 40%,NA,Grassroots,Active,29.617000,-110.075000,Exact
68068,Trout (BCT),Gold,Precious Metals,Venerable Ventures Ltd. (Owner) 100%,BCT Mining Corp. (NSR) 2%,Exploration,Active,53.649000,-124.745000,Exact
68070,Las Lajas,Gold,Precious Metals,Alamos Gold Inc. (Optionee) 100%; Minera Goldzone S.A. de C.V. (Optionor),NA,Exploration,Active,27.285000,-109.365000,Approximate
68074,17853,Gold,Precious Metals,Excalibur Mining Corporation Limited (Optionee) 80%; Buffalo Group Management Limited (Optionor) 20%,NA,Grassroots,Active,-14.660000,28.069000,Approximate
68075,17854,Gold,Precious Metals,Excalibur Mining Corporation Limited (Optionee) 80%; Buffalo Group Management Limited (Optionor) 20%,NA,Grassroots,Active,-13.610000,29.390000,Approximate
68076,17855,Gold,Precious Metals,Excalibur Mining Corporation Limited (Optionee) 80%; Buffalo Group Management Limited (Optionor) 20%,NA,Grassroots,Active,-14.660000,28.070000,Approximate
